experiment,seed,plasticity_rule,condition,memory,output_target_cosine,from_lap,to_lap,cue_changed,tuning_similarity
compatibility,51001,base,random_content,3,0.004596127197146416,,,,
compatibility,51001,base,random_content,4,0.005983803421258926,,,,
compatibility,51001,base,random_content,5,0.08167155832052231,,,,
compatibility,51001,base,random_content,6,0.2803390622138977,,,,
compatibility,51001,base,random_content,7,0.2900001108646393,,,,
compatibility,51001,base,random_content,8,0.2834036648273468,,,,
compatibility,51001,base,random_content,9,0.013164903037250042,,,,
compatibility,51001,base,random_content,10,0.021242668852210045,,,,
compatibility,51001,base,random_content,11,0.002501824637874961,,,,
compatibility,51001,base,random_content,12,0.002404266269877553,,,,
compatibility,51001,base,random_content,13,0.01820775866508484,,,,
compatibility,51001,base,random_content,14,0.015773169696331024,,,,
compatibility,51001,base,random_content,15,0.08040892332792282,,,,
compatibility,51001,base,random_content,16,0.0011458398075774312,,,,
compatibility,51001,base,random_content,17,0.10128355026245117,,,,
compatibility,51001,base,random_content,18,0.010644267313182354,,,,
compatibility,51001,base,random_content,19,0.05552210286259651,,,,
compatibility,51001,base,random_content,20,0.012543335556983948,,,,
compatibility,51001,base,random_content,21,0.0021330914460122585,,,,
compatibility,51001,base,random_content,22,0.3781988322734833,,,,
compatibility,51001,base,random_content,23,0.01677337847650051,,,,
compatibility,51001,base,random_content,24,0.17206314206123352,,,,
compatibility,51001,base,random_content,25,0.008319473825395107,,,,
compatibility,51001,base,random_content,26,0.3629917800426483,,,,
compatibility,51001,base,random_content,27,0.05341745540499687,,,,
compatibility,51001,base,no_plasticity,0,0.028790868818759918,,,,
compatibility,51001,base,no_plasticity,1,0.04686494544148445,,,,
compatibility,51001,base,no_plasticity,2,0.014615424908697605,,,,
compatibility,51001,base,no_plasticity,3,0.004496984649449587,,,,
compatibility,51001,base,no_plasticity,4,0.006062517873942852,,,,
compatibility,51001,base,no_plasticity,5,0.0835847556591034,,,,
compatibility,51001,base,no_plasticity,6,0.27989721298217773,,,,
compatibility,51001,base,no_plasticity,7,0.2893228232860565,,,,
compatibility,51001,base,no_plasticity,8,0.2827610969543457,,,,
compatibility,51001,base,no_plasticity,9,0.013219967484474182,,,,
compatibility,51001,base,no_plasticity,10,0.02123669907450676,,,,
compatibility,51001,base,no_plasticity,11,0.0024491017684340477,,,,
compatibility,51001,base,no_plasticity,12,0.0022408596705645323,,,,
compatibility,51001,base,no_plasticity,13,0.0184505395591259,,,,
compatibility,51001,base,no_plasticity,14,0.0162957813590765,,,,
compatibility,51001,base,no_plasticity,15,0.08358342945575714,,,,
compatibility,51001,base,no_plasticity,16,0.001095494139008224,,,,
compatibility,51001,base,no_plasticity,17,0.10247363895177841,,,,
compatibility,51001,base,no_plasticity,18,0.010663884691894054,,,,
compatibility,51001,base,no_plasticity,19,0.05592461675405502,,,,
compatibility,51001,base,no_plasticity,20,0.013199002481997013,,,,
compatibility,51001,base,no_plasticity,21,0.0021125662606209517,,,,
compatibility,51001,base,no_plasticity,22,0.3798385262489319,,,,
compatibility,51001,base,no_plasticity,23,0.01687796786427498,,,,
compatibility,51001,base,no_plasticity,24,0.17445683479309082,,,,
compatibility,51001,base,no_plasticity,25,0.008884637616574764,,,,
compatibility,51001,base,no_plasticity,26,0.3627971112728119,,,,
compatibility,51001,base,no_plasticity,27,0.05544903129339218,,,,
cue_schedule,51001,base,swap,,,1,2,False,0.9927208423614502
cue_schedule,51001,base,swap,,,2,3,False,0.9973363280296326
cue_schedule,51001,base,swap,,,3,4,False,0.9950984716415405
cue_schedule,51001,base,swap,,,4,5,False,0.998582661151886
cue_schedule,51001,base,swap,,,5,6,False,0.9986999034881592
cue_schedule,51001,base,swap,,,6,7,False,0.9991406798362732
cue_schedule,51001,base,swap,,,7,8,False,0.9988594651222229
cue_schedule,51001,base,swap,,,8,9,False,0.9994453191757202
cue_schedule,51001,base,swap,,,9,10,False,0.9993386268615723
cue_schedule,51001,base,swap,,,10,11,True,0.20396451652050018
cue_schedule,51001,base,swap,,,11,12,False,0.983364999294281
cue_schedule,51001,base,swap,,,12,13,False,0.9915040731430054
cue_schedule,51001,base,swap,,,13,14,False,0.9954770803451538
cue_schedule,51001,base,swap,,,14,15,False,0.9968225359916687
cue_schedule,51001,base,swap,,,15,16,False,0.9978634715080261
cue_schedule,51001,base,swap,,,16,17,False,0.9988362789154053
cue_schedule,51001,base,swap,,,17,18,False,0.9994258284568787
cue_schedule,51001,base,swap,,,18,19,False,0.9986386895179749
cue_schedule,51001,base,swap,,,19,20,False,0.9993149638175964
cue_schedule,51001,base,swap,,,20,21,True,0.2580398917198181
cue_schedule,51001,base,swap,,,21,22,False,0.9959981441497803
cue_schedule,51001,base,swap,,,22,23,False,0.9970700740814209
cue_schedule,51001,base,swap,,,23,24,False,0.9979143738746643
cue_schedule,51001,base,swap,,,24,25,False,0.9977726936340332
cue_schedule,51001,base,swap,,,25,26,False,0.9983545541763306
cue_schedule,51001,base,swap,,,26,27,False,0.9984661340713501
cue_schedule,51001,base,swap,,,27,28,False,0.999098002910614
cue_schedule,51001,base,swap,,,28,29,False,0.9993544816970825
cue_schedule,51001,base,swap,,,29,30,False,0.9992220997810364
cue_schedule,51001,base,swap,,,30,31,True,0.23374836146831512
cue_schedule,51001,base,swap,,,31,32,False,0.9945134520530701
cue_schedule,51001,base,swap,,,32,33,False,0.9972266554832458
cue_schedule,51001,base,swap,,,33,34,False,0.9980623722076416
cue_schedule,51001,base,swap,,,34,35,False,0.9987490177154541
cue_schedule,51001,base,swap,,,35,36,False,0.9992955923080444
cue_schedule,51001,base,swap,,,36,37,False,0.9990209341049194
cue_schedule,51001,base,swap,,,37,38,False,0.9990879893302917
cue_schedule,51001,base,swap,,,38,39,False,0.9994555711746216
cue_schedule,51001,base,swap,,,39,40,False,0.9995180368423462
cue_schedule,51001,base,no_swap,,,1,2,False,0.9927208423614502
cue_schedule,51001,base,no_swap,,,2,3,False,0.9973363280296326
cue_schedule,51001,base,no_swap,,,3,4,False,0.9950984716415405
cue_schedule,51001,base,no_swap,,,4,5,False,0.998582661151886
cue_schedule,51001,base,no_swap,,,5,6,False,0.9986999034881592
