root_seed,condition,memory_index,cosine,mse,topk,identity
51001,aligned,0,0.8809715407383324,0.027504436671733856,0.8,1.0
51001,aligned,1,0.7546427766630444,0.06476468592882156,0.6,1.0
51001,aligned,2,0.7446234311033043,0.044601935893297195,0.6,1.0
51001,aligned,3,0.7403635415305345,0.06859059631824493,0.8,1.0
51001,aligned,4,0.715329374741168,0.05049667879939079,0.6,1.0
51001,aligned,5,0.9338326762861674,0.01466026995331049,1.0,1.0
51001,aligned,6,0.5291263325610912,0.111101433634758,0.4,0.0
51001,aligned,7,0.7387068933551995,0.06213602051138878,0.8,1.0
51001,aligned,8,0.7693175377564232,0.05495898798108101,0.6,1.0
51001,aligned,9,0.5003795244699195,0.1139763742685318,0.4,0.0
51001,aligned,10,0.8456448414637299,0.035319067537784576,0.8,1.0
51001,aligned,11,0.82201670396527,0.03449903428554535,0.8,1.0
51001,aligned,12,0.8652136821420103,0.025641033425927162,0.8,1.0
51001,aligned,13,0.772124298496543,0.04445578530430794,0.6,1.0
51001,aligned,14,0.9485881122129085,0.010291309095919132,1.0,1.0
51001,aligned,15,0.7621277982732257,0.049919381737709045,0.8,1.0
51001,aligned,16,0.8802075284605199,0.02643069066107273,0.8,1.0
51001,aligned,17,0.7987431878698008,0.04001685976982117,0.8,1.0
51001,aligned,18,0.8375390850027795,0.04108072817325592,0.6,1.0
51001,aligned,19,0.8311964420680307,0.04023750126361847,0.8,1.0
51001,aligned,20,0.7336790459082958,0.06501373648643494,0.6,1.0
51001,aligned,21,0.7577995023714379,0.04647683724761009,0.6,1.0
51001,aligned,22,0.9277988738894105,0.015765903517603874,1.0,1.0
51001,aligned,23,0.8137016448781128,0.05001359432935715,1.0,1.0
51001,aligned,24,0.7413966922764336,0.05509352684020996,0.6,1.0
51001,aligned,25,0.8929625204136222,0.023918813094496727,0.8,1.0
51001,aligned,26,0.9198261286496359,0.015609829686582088,0.8,1.0
51001,aligned,27,0.8112404816539572,0.03422042354941368,0.8,1.0
51001,fixed_permutation,0,0.20221661883053893,0.17188486456871033,0.2,0.0
51001,fixed_permutation,1,0.12761232915718018,0.24628835916519165,0.0,0.0
51001,fixed_permutation,2,0.3896340645952833,0.08561573177576065,0.2,1.0
51001,fixed_permutation,3,0.26716732383165365,0.24063055217266083,0.2,0.0
51001,fixed_permutation,4,0.1281630299860939,0.159894198179245,0.0,0.0
51001,fixed_permutation,5,0.0009557807861161751,0.2633003294467926,0.0,0.0
51001,fixed_permutation,6,0.29255344703494435,0.21280260384082794,0.4,0.0
51001,fixed_permutation,7,0.0026922134987020277,0.24963083863258362,0.0,0.0
51001,fixed_permutation,8,0.11119332291437346,0.26812708377838135,0.0,0.0
51001,fixed_permutation,9,0.0755901541193038,0.2107098400592804,0.0,0.0
51001,fixed_permutation,10,0.23739314137649847,0.1791963130235672,0.0,0.0
51001,fixed_permutation,11,0.2243557009044816,0.16303646564483643,0.2,0.0
51001,fixed_permutation,12,0.10328201847584716,0.20740459859371185,0.0,0.0
51001,fixed_permutation,13,0.043463929545973896,0.18717575073242188,0.0,0.0
51001,fixed_permutation,14,0.08755939661620504,0.21097324788570404,0.0,0.0
51001,fixed_permutation,15,0.1895644954820911,0.21410852670669556,0.2,0.0
51001,fixed_permutation,16,0.005491176277740801,0.20647630095481873,0.0,0.0
51001,fixed_permutation,17,0.08697333418517532,0.18898795545101166,0.0,0.0
51001,fixed_permutation,18,0.020373397339518803,0.2650379538536072,0.0,0.0
51001,fixed_permutation,19,0.3263720547942517,0.18262700736522675,0.2,0.0
51001,fixed_permutation,20,0.13724028959557605,0.2583601474761963,0.0,0.0
51001,fixed_permutation,21,0.0004915702635737916,0.20919828116893768,0.0,0.0
