root_seed,unit,spatial_stability,cue_modulation
51001,0,0.45724859833717346,0.15205101668834686
51001,1,-0.30922621488571167,0.2989121675491333
51001,2,-0.03812316805124283,0.23065966367721558
51001,3,0.534849226474762,0.09437157958745956
51001,4,0.6279182434082031,0.09049279987812042
51001,5,-0.06411304324865341,0.03719082474708557
51001,6,0.35163331031799316,0.19078309834003448
51001,7,0.4371827244758606,0.0762086734175682
51001,8,0.38486146926879883,0.1530849188566208
51001,9,-0.023114584386348724,0.22691643238067627
51001,10,0.4820512533187866,0.1185886412858963
51001,11,0.5962578654289246,0.12348146736621857
51001,12,0.2312588095664978,0.18423700332641602
51001,13,0.166096031665802,0.33520981669425964
51001,14,-0.012745006009936333,0.0029140764381736517
51001,15,0.029796229675412178,0.10997680574655533
51001,16,-0.12913766503334045,0.042001910507678986
51001,17,0.43430575728416443,0.152622789144516
51001,18,0.5476342439651489,0.14786024391651154
51001,19,0.569751501083374,0.1025608628988266
51001,20,0.570761501789093,0.12336846441030502
51001,21,-0.37734517455101013,0.4504390358924866
51001,22,0.06291575729846954,0.22795246541500092
51001,23,0.1913088709115982,0.18984229862689972
51001,24,0.2875185012817383,0.1688850075006485
51001,25,0.22873437404632568,0.05504513904452324
51001,26,0.24445149302482605,0.2543566823005676
51001,27,0.11392229050397873,0.14147283136844635
51001,28,0.5471329689025879,0.1451249122619629
51001,29,0.34031155705451965,0.16669799387454987
51001,30,0.02458098717033863,0.21924515068531036
51001,31,0.20782849192619324,0.24175404012203217
51001,32,0.3761904835700989,0.18993446230888367
51001,33,-0.015933455899357796,0.003042585449293256
51001,34,-0.4085545241832733,0.43690070509910583
51001,35,0.08749552071094513,0.20286715030670166
51001,36,0.05692407861351967,0.21505163609981537
51001,37,0.37649425864219666,0.1538531631231308
51001,38,-0.35294240713119507,0.35167229175567627
51001,39,-0.40396055579185486,0.30777156352996826
51001,40,0.1469203531742096,0.15629521012306213
51001,41,-0.21409709751605988,0.1707182079553604
51001,42,-0.19282817840576172,0.18545717000961304
51001,43,0.3542824387550354,0.15495337545871735
51001,44,-0.09844726324081421,0.1930355429649353
51001,45,0.29787689447402954,0.11612459272146225
51001,46,0.37643054127693176,0.12773044407367706
51001,47,0.060163650661706924,0.1590406894683838
51001,48,0.5494985580444336,0.1628749668598175
51001,49,0.21732212603092194,0.17429706454277039
51002,0,0.10827497392892838,0.1955498903989792
51002,1,0.22871826589107513,0.19213902950286865
51002,2,0.25949427485466003,0.12910152971744537
51002,3,-0.43155547976493835,0.562080979347229
51002,4,0.04528838023543358,0.1197899878025055
51002,5,0.42618316411972046,0.09307172894477844
51002,6,0.2806245982646942,0.08637946844100952
51002,7,-0.04364597052335739,0.003872038796544075
51002,8,0.22440272569656372,0.1594981551170349
51002,9,-0.4073602855205536,0.26162102818489075
51002,10,0.5746062994003296,0.26947909593582153
51002,11,0.015837909653782845,0.2332528829574585
51002,12,-0.21708336472511292,0.1250280737876892
51002,13,0.9037261605262756,0.041630253195762634
51002,14,-0.289911150932312,0.1303764432668686
51002,15,-0.5344839692115784,0.6842408776283264
51002,16,0.4873736500740051,0.1271897852420807
51002,17,-0.28324609994888306,0.16617991030216217
51002,18,-1.8255899280102472e-17,1.2160926139112875e-15
51002,19,-0.0044035110622644424,0.16700772941112518
51002,20,0.4604949653148651,0.14164499938488007
51002,21,0.024623019620776176,0.2654649615287781
51002,22,0.2792571783065796,0.15163356065750122
51002,23,0.6477006673812866,0.12050250917673111
