root_seed,key_mode,fraction,mask_index,dropped_mec_units,position_accuracy,cue_accuracy,lec_cosine,key_cosine
51001,normal,0.0,0,0,0.78,1.0,0.6398273238163865,1.0
51001,normal,0.0,1,0,0.78,1.0,0.6398273238163865,1.0
51001,normal,0.0,2,0,0.78,1.0,0.6398273238163865,1.0
51001,normal,0.0,3,0,0.78,1.0,0.6398273238163865,1.0
51001,normal,0.0,4,0,0.78,1.0,0.6398273238163865,1.0
51001,normal,0.0,5,0,0.78,1.0,0.6398273238163865,1.0
51001,normal,0.0,6,0,0.78,1.0,0.6398273238163865,1.0
51001,normal,0.0,7,0,0.78,1.0,0.6398273238163865,1.0
51001,normal,0.0,8,0,0.78,1.0,0.6398273238163865,1.0
51001,normal,0.0,9,0,0.78,1.0,0.6398273238163865,1.0
51001,normal,0.0,10,0,0.78,1.0,0.6398273238163865,1.0
51001,normal,0.0,11,0,0.78,1.0,0.6398273238163865,1.0
51001,normal,0.25,0,6,0.4,1.0,0.6315876535898893,0.8316503106812881
51001,normal,0.25,1,6,0.38,1.0,0.6396715519553434,0.8492354476027184
51001,normal,0.25,2,6,0.48,1.0,0.6394760677702606,0.8736606354578821
51001,normal,0.25,3,6,0.54,1.0,0.6386737327362693,0.8060722856230709
51001,normal,0.25,4,6,0.42,1.0,0.6399104284519028,0.8267279212197051
51001,normal,0.25,5,6,0.48,1.0,0.6384327043015374,0.8213962088507583
51001,normal,0.25,6,6,0.58,1.0,0.6397594495007937,0.8368874185823074
51001,normal,0.25,7,6,0.36,1.0,0.639943522940483,0.8050138093568557
51001,normal,0.25,8,6,0.4,1.0,0.639663455508018,0.8306887411348619
51001,normal,0.25,9,6,0.4,1.0,0.6399639344519702,0.8055123773820587
51001,normal,0.25,10,6,0.56,1.0,0.6394189794056052,0.814113305864243
51001,normal,0.25,11,6,0.52,1.0,0.6398924957203697,0.8273015553175596
51001,normal,0.5,0,12,0.34,1.0,0.6367366630621333,0.7308659820940363
51001,normal,0.5,1,12,0.28,1.0,0.6397741620722724,0.6778560618847114
51001,normal,0.5,2,12,0.24,1.0,0.6386619043628875,0.7425992224661754
51001,normal,0.5,3,12,0.22,1.0,0.6399408806621367,0.7349061209036262
51001,normal,0.5,4,12,0.2,1.0,0.6399958840813847,0.7051002235764902
51001,normal,0.5,5,12,0.26,1.0,0.639998233493972,0.7173058342689191
51001,normal,0.5,6,12,0.32,1.0,0.6399666256871557,0.7403307830747906
51001,normal,0.5,7,12,0.22,1.0,0.6354817504159179,0.7154744488540579
51001,normal,0.5,8,12,0.18,1.0,0.6399936433350796,0.7013832022227743
51001,normal,0.5,9,12,0.34,1.0,0.6345423387958701,0.7331104680665887
51001,normal,0.5,10,12,0.22,1.0,0.6399084404554898,0.6944733228183756
51001,normal,0.5,11,12,0.34,1.0,0.6399911749838333,0.7561976916201104
51001,normal,0.75,0,19,0.08,1.0,0.6399466113622743,0.6283606607093072
51001,normal,0.75,1,19,0.18,1.0,0.6399714653187609,0.6547656133697909
51001,normal,0.75,2,19,0.04,1.0,0.6399926102959576,0.6125985349646396
51001,normal,0.75,3,19,0.1,1.0,0.6399242676865946,0.6173572950509719
51001,normal,0.75,4,19,0.16,1.0,0.6399943065486174,0.6429468128347818
51001,normal,0.75,5,19,0.1,1.0,0.6399923058343826,0.6469819506289758
51001,normal,0.75,6,19,0.2,1.0,0.6229391760897994,0.6035655478785283
51001,normal,0.75,7,19,0.14,1.0,0.6399969054693699,0.6559146588549577
51001,normal,0.75,8,19,0.1,1.0,0.6399808270367285,0.6268525963928241
51001,normal,0.75,9,19,0.16,1.0,0.6398190453445696,0.6280808997998661
51001,normal,0.75,10,19,0.18,1.0,0.639986095910984,0.6379068431110245
51001,normal,0.75,11,19,0.1,1.0,0.6399942470748782,0.6308513833874294
51001,normal,0.9,0,22,0.12,1.0,0.6399991287533724,0.6319115911810139
51001,normal,0.9,1,22,0.06,1.0,0.6399977964229352,0.6039897248924612
51001,normal,0.9,2,22,0.08,1.0,0.6395553300283919,0.6019781337709884
51001,normal,0.9,3,22,0.1,1.0,0.6399856291678213,0.5923584755401355
51001,normal,0.9,4,22,0.06,1.0,0.6399804490704992,0.5868919196912339
51001,normal,0.9,5,22,0.06,1.0,0.6399972335285864,0.5868217518434219
51001,normal,0.9,6,22,0.06,1.0,0.6399926834108536,0.6018262921453809
51001,normal,0.9,7,22,0.1,1.0,0.6399984975580773,0.6181873754263268
51001,normal,0.9,8,22,0.08,1.0,0.6328453037958073,0.6008115383009617
51001,normal,0.9,9,22,0.08,1.0,0.6399994411309575,0.6244436937702791
51001,normal,0.9,10,22,0.06,1.0,0.6399975774757601,0.6360292467859481
51001,normal,0.9,11,22,0.08,1.0,0.6399993536784856,0.5919814478338138
51001,shuffled,0.0,0,0,0.56,1.0,0.6399942338277087,1.0
51001,shuffled,0.0,1,0,0.56,1.0,0.6399942338277087,1.0
51001,shuffled,0.0,2,0,0.56,1.0,0.6399942338277087,1.0
51001,shuffled,0.0,3,0,0.56,1.0,0.6399942338277087,1.0
51001,shuffled,0.0,4,0,0.56,1.0,0.6399942338277087,1.0
51001,shuffled,0.0,5,0,0.56,1.0,0.6399942338277087,1.0
51001,shuffled,0.0,6,0,0.56,1.0,0.6399942338277087,1.0
51001,shuffled,0.0,7,0,0.56,1.0,0.6399942338277087,1.0
51001,shuffled,0.0,8,0,0.56,1.0,0.6399942338277087,1.0
51001,shuffled,0.0,9,0,0.56,1.0,0.6399942338277087,1.0
51001,shuffled,0.0,10,0,0.56,1.0,0.6399942338277087,1.0
51001,shuffled,0.0,11,0,0.56,1.0,0.6399942338277087,1.0
51001,shuffled,0.25,0,6,0.44,1.0,0.6389009695594379,0.850806296611873
51001,shuffled,0.25,1,6,0.46,1.0,0.6399889932898097,0.80415047588758
51001,shuffled,0.25,2,6,0.38,1.0,0.6394857464936158,0.8467101182558692
51001,shuffled,0.25,3,6,0.5,1.0,0.6384175074888185,0.8312023521916002
51001,shuffled,0.25,4,6,0.36,1.0,0.6399330803240825,0.8061815590051258
51001,shuffled,0.25,5,6,0.44,1.0,0.6398940966555648,0.8299311338353634
51001,shuffled,0.25,6,6,0.46,1.0,0.639473319953849,0.8662819869583289
51001,shuffled,0.25,7,6,0.3,1.0,0.6353270584694005,0.8088590353777491
51001,shuffled,0.25,8,6,0.34,1.0,0.6395580636495245,0.8258477068261187
51001,shuffled,0.25,9,6,0.42,1.0,0.6384380273789085,0.8360710572932604
51001,shuffled,0.25,10,6,0.38,1.0,0.6391602244087804,0.8328291773842369
51001,shuffled,0.25,11,6,0.36,1.0,0.6394386070311443,0.8254786491802772
51001,shuffled,0.5,0,12,0.32,1.0,0.6357777577368856,0.7280504830871821
51001,shuffled,0.5,1,12,0.28,1.0,0.6399714543516478,0.6949921977521728
51001,shuffled,0.5,2,12,0.22,1.0,0.6241442907828172,0.6953299612290871
51001,shuffled,0.5,3,12,0.34,1.0,0.6104803101012117,0.7210582855300568
51001,shuffled,0.5,4,12,0.32,1.0,0.6371531518889614,0.6896228928220894
51001,shuffled,0.5,5,12,0.28,1.0,0.639829611685148,0.6846443001962673
51001,shuffled,0.5,6,12,0.2,1.0,0.6370408055636345,0.6901619418076921
51001,shuffled,0.5,7,12,0.28,1.0,0.6191753779030907,0.6714197063888512
51001,shuffled,0.5,8,12,0.28,1.0,0.6367056601929524,0.7424150096259945
51001,shuffled,0.5,9,12,0.28,1.0,0.6312569383040824,0.6949520578552015
51001,shuffled,0.5,10,12,0.18,1.0,0.6398655043953236,0.7142702589036384
51001,shuffled,0.5,11,12,0.22,1.0,0.6398746319565879,0.725611197612023
51001,shuffled,0.75,0,19,0.12,1.0,0.6390759996651971,0.5764686482136572
51001,shuffled,0.75,1,19,0.1,1.0,0.6369328393924579,0.594489540983895
51001,shuffled,0.75,2,19,0.16,1.0,0.6350161312115513,0.6001781476035176
