root_seed,condition,from_lap,to_lap,cue_changed,tuning_similarity
51002,no_swap,11,12,False,0.7970001697540283
51002,no_swap,12,13,False,0.7815131545066833
51002,no_swap,13,14,False,0.8257599472999573
51002,no_swap,14,15,False,0.8177230954170227
51002,no_swap,15,16,False,0.8194271326065063
51002,no_swap,16,17,False,0.8039100170135498
51002,no_swap,17,18,False,0.8340820074081421
51002,no_swap,18,19,False,0.8306381702423096
51002,no_swap,19,20,False,0.8447244167327881
51002,no_swap,20,21,False,0.828355610370636
51002,no_swap,21,22,False,0.8119285106658936
51002,no_swap,22,23,False,0.8200986981391907
51002,no_swap,23,24,False,0.8283506631851196
51002,no_swap,24,25,False,0.812477171421051
51002,no_swap,25,26,False,0.8446303009986877
51002,no_swap,26,27,False,0.8194081783294678
51002,no_swap,27,28,False,0.8561625480651855
51002,no_swap,28,29,False,0.8504751324653625
51002,no_swap,29,30,False,0.858909547328949
51002,no_swap,30,31,False,0.8303208351135254
51002,no_swap,31,32,False,0.8387712240219116
51002,no_swap,32,33,False,0.8298037648200989
51002,no_swap,33,34,False,0.8212342262268066
51002,no_swap,34,35,False,0.8293240070343018
51002,no_swap,35,36,False,0.829871416091919
51002,no_swap,36,37,False,0.8268416523933411
51002,no_swap,37,38,False,0.8122738003730774
51002,no_swap,38,39,False,0.8428259491920471
51002,no_swap,39,40,False,0.8043996691703796
51003,swap,1,2,False,0.7392536997795105
51003,swap,2,3,False,0.7869424223899841
51003,swap,3,4,False,0.8125692009925842
51003,swap,4,5,False,0.8194291591644287
51003,swap,5,6,False,0.7859382033348083
51003,swap,6,7,False,0.7640495300292969
51003,swap,7,8,False,0.7512103319168091
51003,swap,8,9,False,0.7505397200584412
51003,swap,9,10,False,0.7451083660125732
51003,swap,10,11,True,0.5132204294204712
51003,swap,11,12,False,0.7430164813995361
51003,swap,12,13,False,0.7421781420707703
51003,swap,13,14,False,0.7221412658691406
51003,swap,14,15,False,0.7294456362724304
51003,swap,15,16,False,0.7751795053482056
51003,swap,16,17,False,0.7037187814712524
51003,swap,17,18,False,0.7783855199813843
51003,swap,18,19,False,0.7364861369132996
51003,swap,19,20,False,0.7376595139503479
51003,swap,20,21,True,0.47553199529647827
51003,swap,21,22,False,0.7696778178215027
51003,swap,22,23,False,0.7944585680961609
51003,swap,23,24,False,0.7925717234611511
51003,swap,24,25,False,0.7818578481674194
51003,swap,25,26,False,0.76497483253479
51003,swap,26,27,False,0.7632931470870972
51003,swap,27,28,False,0.7969440221786499
51003,swap,28,29,False,0.768950343132019
51003,swap,29,30,False,0.7507695555686951
51003,swap,30,31,True,0.5051397681236267
51003,swap,31,32,False,0.789445161819458
51003,swap,32,33,False,0.7860875129699707
51003,swap,33,34,False,0.7716536521911621
51003,swap,34,35,False,0.7644644379615784
51003,swap,35,36,False,0.7660073637962341
51003,swap,36,37,False,0.7658898830413818
51003,swap,37,38,False,0.7667083740234375
51003,swap,38,39,False,0.7705606818199158
51003,swap,39,40,False,0.7987265586853027
51003,no_swap,1,2,False,0.7392536997795105
51003,no_swap,2,3,False,0.7869424223899841
51003,no_swap,3,4,False,0.8125692009925842
51003,no_swap,4,5,False,0.8194291591644287
51003,no_swap,5,6,False,0.7859382033348083
51003,no_swap,6,7,False,0.7640495300292969
51003,no_swap,7,8,False,0.7512103319168091
51003,no_swap,8,9,False,0.7505397200584412
51003,no_swap,9,10,False,0.7451083660125732
51003,no_swap,10,11,False,0.740926206111908
51003,no_swap,11,12,False,0.7576944828033447
51003,no_swap,12,13,False,0.7636116743087769
