root_seed,key_mode,fraction,mask_index,output_cosine,identity,key_cosine,dropped_units
51001,normal,0.0,0,0.9514526540459769,0.74,1.0,0
51001,normal,0.0,1,0.9514526540459769,0.74,1.0,0
51001,normal,0.0,2,0.9514526540459769,0.74,1.0,0
51001,normal,0.0,3,0.9514526540459769,0.74,1.0,0
51001,normal,0.0,4,0.9514526540459769,0.74,1.0,0
51001,normal,0.0,5,0.9514526540459769,0.74,1.0,0
51001,normal,0.0,6,0.9514526540459769,0.74,1.0,0
51001,normal,0.0,7,0.9514526540459769,0.74,1.0,0
51001,normal,0.0,8,0.9514526540459769,0.74,1.0,0
51001,normal,0.0,9,0.9514526540459769,0.74,1.0,0
51001,normal,0.0,10,0.9514526540459769,0.74,1.0,0
51001,normal,0.0,11,0.9514526540459769,0.74,1.0,0
51001,normal,0.25,0,0.8430204740083846,0.38,0.6911532902092408,12
51001,normal,0.25,1,0.8502977281168335,0.4,0.7531570080439122,12
51001,normal,0.25,2,0.8302299265678341,0.4,0.7436217993128102,12
51001,normal,0.25,3,0.8166475054716905,0.34,0.6438109609687472,12
51001,normal,0.25,4,0.8762858207024656,0.42,0.7223156828046128,12
51001,normal,0.25,5,0.7767946208916332,0.28,0.643175652523032,12
51001,normal,0.25,6,0.8854814866780767,0.44,0.7319872985039929,12
51001,normal,0.25,7,0.8232075980839673,0.46,0.7959526030737747,12
51001,normal,0.25,8,0.7544204084447818,0.28,0.6999654105708594,12
51001,normal,0.25,9,0.8289899254979173,0.32,0.7407779939380239,12
51001,normal,0.25,10,0.7661006075006815,0.22,0.6212314054924147,12
51001,normal,0.25,11,0.8166413030860727,0.36,0.7075046662981537,12
51001,normal,0.5,0,0.7437313182765607,0.24,0.6136344309107716,25
51001,normal,0.5,1,0.6807520558435081,0.2,0.4939120227483665,25
51001,normal,0.5,2,0.7273039083985772,0.14,0.5576604265517529,25
51001,normal,0.5,3,0.5742732454881415,0.1,0.5432683855429341,25
51001,normal,0.5,4,0.6786106327015038,0.2,0.5657351848258627,25
51001,normal,0.5,5,0.668616329747796,0.24,0.5946951055763323,25
51001,normal,0.5,6,0.646528966679432,0.12,0.4680291574545394,25
51001,normal,0.5,7,0.7168122269065152,0.2,0.5659538654551254,25
51001,normal,0.5,8,0.658672182690045,0.26,0.5343667982815888,25
51001,normal,0.5,9,0.7116676546481512,0.22,0.572480877606075,25
51001,normal,0.5,10,0.6243535072007448,0.24,0.48992000536836827,25
51001,normal,0.5,11,0.670648925444618,0.1,0.5299637190166162,25
51001,normal,0.75,0,0.5766138479435421,0.2,0.42681413237214955,38
51001,normal,0.75,1,0.5435484419215204,0.06,0.46443690807823423,38
51001,normal,0.75,2,0.4639950746499424,0.06,0.3431023796799626,38
51001,normal,0.75,3,0.5257049529376594,0.06,0.4641368146075752,38
51001,normal,0.75,4,0.5053544401223703,0.04,0.4911897818861713,38
51001,normal,0.75,5,0.5151435629486634,0.14,0.380755800017686,38
51001,normal,0.75,6,0.46565726104995553,0.04,0.476876833495207,38
51001,normal,0.75,7,0.5116373306326286,0.1,0.4853830584652466,38
51001,normal,0.75,8,0.5096017469336147,0.08,0.445902948696307,38
51001,normal,0.75,9,0.5704856902831438,0.12,0.5418296687965884,38
51001,normal,0.75,10,0.4410680924120279,0.04,0.4264712155344522,38
51001,normal,0.75,11,0.5236990533615725,0.1,0.42789279289767923,38
51001,normal,0.9,0,0.48138469152004293,0.08,0.4228397030013643,45
51001,normal,0.9,1,0.43263662793641394,0.04,0.43845566911724554,45
51001,normal,0.9,2,0.329814759521717,0.02,0.4136513899895135,45
51001,normal,0.9,3,0.4487162819556604,0.02,0.41340207503964854,45
51001,normal,0.9,4,0.47230125026506614,0.04,0.40199739064365614,45
51001,normal,0.9,5,0.4878570063533023,0.06,0.44708275746190135,45
51001,normal,0.9,6,0.3506586010769209,0.04,0.379531111789165,45
51001,normal,0.9,7,0.35370583994974697,0.06,0.39701069557552804,45
51001,normal,0.9,8,0.5066597169197705,0.12,0.4518551830303674,45
51001,normal,0.9,9,0.43255966132060764,0.02,0.3965623138438271,45
51001,normal,0.9,10,0.4310956652762075,0.02,0.41474755026518606,45
51001,normal,0.9,11,0.412319639377537,0.04,0.39110427940612325,45
51001,shuffled,0.0,0,0.952995755740707,0.58,1.0,0
51001,shuffled,0.0,1,0.952995755740707,0.58,1.0,0
51001,shuffled,0.0,2,0.952995755740707,0.58,1.0,0
51001,shuffled,0.0,3,0.952995755740707,0.58,1.0,0
51001,shuffled,0.0,4,0.952995755740707,0.58,1.0,0
51001,shuffled,0.0,5,0.952995755740707,0.58,1.0,0
51001,shuffled,0.0,6,0.952995755740707,0.58,1.0,0
51001,shuffled,0.0,7,0.952995755740707,0.58,1.0,0
51001,shuffled,0.0,8,0.952995755740707,0.58,1.0,0
51001,shuffled,0.0,9,0.952995755740707,0.58,1.0,0
51001,shuffled,0.0,10,0.952995755740707,0.58,1.0,0
51001,shuffled,0.0,11,0.952995755740707,0.58,1.0,0
51001,shuffled,0.25,0,0.8124196627568375,0.32,0.7363799248396006,12
51001,shuffled,0.25,1,0.8587734095871844,0.38,0.73054260602973,12
51001,shuffled,0.25,2,0.8836126905657733,0.38,0.8183934348086074,12
51001,shuffled,0.25,3,0.864196858970925,0.22,0.7127479494775841,12
