rule,seed,capacity,plasticity_label,ae_validation_mse,clean_pair_accuracy,degraded_pair_accuracy,collision_rate,recruitment_fraction,fraction_spatial,fraction_cue-general,fraction_cue-specific,fraction_mixed,fraction_neutral
base,53001,38,Instructive-driven,4.324848479342336e-09,0.3157894736842105,0.11842105263157894,0.4736842105263158,0.38,0.86,0.0,0.0,0.14,0.0
base,53001,39,Instructive-driven,4.324848479342336e-09,0.41025641025641024,0.1282051282051282,0.4871794871794872,0.38,0.86,0.0,0.0,0.12,0.02
base,53001,40,Instructive-driven,4.324848479342336e-09,0.15,0.0625,0.5,0.38,0.86,0.0,0.0,0.14,0.0
base,53001,41,Instructive-driven,4.324848479342336e-09,0.36585365853658536,0.15853658536585366,0.5121951219512195,0.38,0.86,0.0,0.0,0.14,0.0
base,53001,42,Instructive-driven,4.324848479342336e-09,0.3333333333333333,0.1130952380952381,0.5238095238095238,0.38,0.86,0.0,0.0,0.12,0.02
base,53001,43,Instructive-driven,4.324848479342336e-09,0.4186046511627907,0.1511627906976744,0.5348837209302326,0.38,0.86,0.0,0.0,0.12,0.02
base,53001,44,Instructive-driven,4.324848479342336e-09,0.38636363636363635,0.09659090909090909,0.5227272727272727,0.4,0.86,0.0,0.0,0.12,0.02
base,53001,45,Instructive-driven,4.324848479342336e-09,0.37777777777777777,0.11666666666666667,0.5333333333333333,0.4,0.86,0.0,0.0,0.14,0.0
base,53001,46,Instructive-driven,4.324848479342336e-09,0.41304347826086957,0.11413043478260869,0.5217391304347826,0.42,0.86,0.0,0.0,0.14,0.0
base,53001,47,Instructive-driven,4.324848479342336e-09,0.3191489361702128,0.09042553191489362,0.5319148936170213,0.42,0.86,0.0,0.0,0.14,0.0
base,53001,48,Instructive-driven,4.324848479342336e-09,0.375,0.13020833333333334,0.5416666666666667,0.42,0.88,0.0,0.0,0.12,0.0
base,53001,49,Instructive-driven,4.324848479342336e-09,0.24489795918367346,0.05612244897959184,0.5510204081632653,0.42,0.86,0.0,0.0,0.14,0.0
base,53001,50,Instructive-driven,4.324848479342336e-09,0.14,0.07,0.56,0.42,0.86,0.0,0.0,0.14,0.0
base,53001,51,Instructive-driven,4.324848479342336e-09,0.29411764705882354,0.12254901960784313,0.5686274509803921,0.42,0.86,0.0,0.0,0.14,0.0
base,53001,52,Instructive-driven,4.324848479342336e-09,0.28846153846153844,0.09134615384615384,0.5769230769230769,0.42,0.86,0.0,0.0,0.14,0.0
base,53001,53,Instructive-driven,4.324848479342336e-09,0.18867924528301888,0.08490566037735849,0.5849056603773585,0.42,0.86,0.0,0.0,0.14,0.0
base,53001,54,Instructive-driven,4.324848479342336e-09,0.24074074074074073,0.1388888888888889,0.5925925925925926,0.42,0.86,0.0,0.0,0.14,0.0
base,53001,55,Instructive-driven,4.324848479342336e-09,0.4727272727272727,0.13636363636363635,0.6,0.42,0.86,0.0,0.0,0.12,0.02
base,53001,56,Instructive-driven,4.324848479342336e-09,0.30357142857142855,0.08928571428571429,0.6071428571428572,0.42,0.86,0.0,0.0,0.14,0.0
base,53001,57,Instructive-driven,4.324848479342336e-09,0.2982456140350877,0.07456140350877193,0.6140350877192983,0.42,0.86,0.0,0.0,0.14,0.0
base,53001,58,Instructive-driven,4.324848479342336e-09,0.1724137931034483,0.0603448275862069,0.6206896551724138,0.42,0.86,0.0,0.0,0.12,0.02
base,53001,59,Instructive-driven,4.324848479342336e-09,0.2033898305084746,0.08050847457627118,0.6271186440677966,0.42,0.86,0.0,0.0,0.14,0.0
base,53001,60,Instructive-driven,4.324848479342336e-09,0.26666666666666666,0.10416666666666667,0.6333333333333333,0.42,0.88,0.0,0.0,0.12,0.0
base,53001,61,Instructive-driven,4.324848479342336e-09,0.39344262295081966,0.16393442622950818,0.639344262295082,0.42,0.88,0.0,0.0,0.12,0.0
base,53001,62,Instructive-driven,4.324848479342336e-09,0.27419354838709675,0.12096774193548387,0.6451612903225806,0.42,0.88,0.0,0.0,0.12,0.0
base,53001,63,Instructive-driven,4.324848479342336e-09,0.2698412698412698,0.1111111111111111,0.6507936507936508,0.42,0.88,0.0,0.0,0.12,0.0
base,53001,64,Instructive-driven,4.324848479342336e-09,0.359375,0.15234375,0.640625,0.42,0.88,0.0,0.0,0.12,0.0
base,53001,65,Instructive-driven,4.324848479342336e-09,0.3076923076923077,0.11923076923076924,0.6461538461538461,0.42,0.88,0.0,0.0,0.12,0.0
base,53001,66,Instructive-driven,4.324848479342336e-09,0.21212121212121213,0.07575757575757576,0.6515151515151515,0.42,0.86,0.0,0.0,0.14,0.0
base,53001,67,Instructive-driven,4.324848479342336e-09,0.26865671641791045,0.08955223880597014,0.6567164179104478,0.42,0.86,0.0,0.0,0.14,0.0
base,53001,68,Instructive-driven,4.324848479342336e-09,0.16176470588235295,0.05514705882352941,0.6617647058823529,0.42,0.86,0.0,0.0,0.14,0.0
base,53001,69,Instructive-driven,4.324848479342336e-09,0.18840579710144928,0.06159420289855073,0.6666666666666667,0.42,0.86,0.0,0.0,0.14,0.0
base,53001,70,Instructive-driven,4.324848479342336e-09,0.17142857142857143,0.060714285714285714,0.6714285714285715,0.42,0.86,0.0,0.0,0.14,0.0
base,53001,71,Instructive-driven,4.324848479342336e-09,0.18309859154929578,0.06338028169014084,0.676056338028169,0.42,0.86,0.0,0.0,0.14,0.0
base,53001,72,Instructive-driven,4.324848479342336e-09,0.1527777777777778,0.052083333333333336,0.6805555555555556,0.42,0.86,0.0,0.0,0.14,0.0
base,53001,73,Instructive-driven,4.324848479342336e-09,0.136986301369863,0.06164383561643835,0.6849315068493151,0.42,0.86,0.0,0.0,0.14,0.0
