rule,seed,capacity,unit,category,total_variance,spatial,cue-general,cue-specific,interaction
base,53001,2,12,mixed,0.07414715,0.04697739,0.0030930561,0.024990404,0.021673212
base,53001,2,13,neutral,0.0006234124,0.00034078196,0.00090219156,0.00049581967,0.00026169705
base,53001,2,14,spatial,0.019949365,0.01475751,0.0005609422,0.0056276615,0.0051881326
base,53001,2,15,spatial,0.001400673,0.0012364733,5.8168544e-06,6.5174827e-06,0.00016135286
base,53001,2,16,spatial,0.0035772764,0.0031390924,8.5428e-06,1.4987422e-05,0.0004357331
base,53001,2,17,spatial,0.035087384,0.031142361,5.6621064e-07,0.0045870743,0.0039421436
base,53001,2,18,spatial,0.00303822,0.002138969,0.0005890621,0.0003515739,0.00087364105
base,53001,2,19,mixed,0.008136398,0.006359933,0.006176807,0.006017119,0.0016762976
base,53001,2,20,spatial,0.02605497,0.021121187,0.0021370647,0.0038231227,0.0048402105
base,53001,2,21,spatial,0.108486116,0.100175865,0.0007186065,0.004054637,0.006543054
base,53001,2,22,spatial,0.0076995646,0.005253117,0.00018247498,0.001504585,0.0022014421
base,53001,2,23,mixed,0.005345152,0.0042081214,0.007513508,0.007479275,0.0011184446
base,53001,2,24,mixed,0.02103322,0.010113039,9.961277e-06,0.0044676648,0.01085166
base,53001,2,25,spatial,0.030405499,0.025811197,2.8940435e-06,1.4679542e-05,0.0045626652
base,53001,2,26,spatial,0.17081478,0.15647148,0.0033399984,0.01069323,0.0119853495
base,53001,2,27,spatial,0.15051948,0.14185986,0.013081641,0.0035499365,0.007829193
base,53001,2,28,spatial,0.012035411,0.009124977,0.0013329808,0.002111383,0.0026482258
base,53001,2,29,neutral,0.0003471627,0.0002953971,9.870076e-06,1.5680635e-05,5.0641644e-05
base,53001,2,30,spatial,0.07910916,0.06835499,0.0028936176,0.004571292,0.010305175
base,53001,2,31,spatial,0.02114297,0.019094864,1.3475687e-05,0.00088974886,0.0020183204
base,53001,2,32,spatial,0.0799678,0.0702912,0.003156871,0.0025824585,0.008459621
base,53001,2,33,mixed,0.017603917,0.008633536,0.0025080293,0.008472777,0.007919551
base,53001,2,34,neutral,0.0002220651,0.00012468097,2.9289902e-05,2.269866e-05,9.2128364e-05
base,53001,2,35,mixed,0.0025511133,0.0013790223,0.00013983036,0.0019022446,0.0011645551
base,53001,2,36,spatial,0.0060391044,0.004844433,0.00038670274,0.00035031905,0.001190906
base,53001,2,37,spatial,0.077872366,0.05530948,0.0025472336,0.017883316,0.020280128
base,53001,2,38,spatial,0.052788287,0.042780496,4.5848083e-05,0.00029096313,0.008840694
base,53001,2,39,spatial,0.055979136,0.04947541,0.005374788,0.0023353612,0.0063985633
base,53001,2,40,mixed,0.0035786447,0.0019654953,0.00084822805,0.0012162229,0.0013994493
base,53001,2,41,spatial,0.06833225,0.060921744,0.00012375116,0.00053804455,0.0070616603
base,53001,2,42,mixed,0.008958164,0.005645943,0.00010374651,0.0008621155,0.003059982
base,53001,2,43,mixed,0.13967752,0.092600554,0.0063953027,0.11666236,0.04570545
base,53001,2,44,mixed,0.006366144,0.0037862295,0.00018723492,0.0018833727,0.0025546604
base,53001,2,45,mixed,0.0012347868,0.00057920715,0.0030175846,0.0029999886,0.00059431454
base,53001,2,46,spatial,0.0056502223,0.0045687766,0.00041985186,0.00037186246,0.0010663233
base,53001,2,47,spatial,0.046038337,0.040878877,0.004967724,0.004092144,0.0051057152
base,53001,2,48,spatial,0.1032823,0.09522705,0.011891187,0.0035598737,0.0073802974
base,53001,2,49,spatial,0.009010681,0.0063213017,1.0869602e-05,0.001206692,0.0026840214
base,53001,3,0,neutral,9.292303e-06,3.4883699e-06,9.870864e-07,2.2133993e-06,5.6661893e-06
base,53001,3,1,spatial,0.04924362,0.039357837,0.00089248986,0.0031102442,0.008927869
base,53001,3,2,spatial,0.11344686,0.10456061,0.0026916522,0.0012653545,0.008797159
base,53001,3,3,mixed,0.0080251945,0.0041199196,1.9409244e-06,0.006419243,0.003543311
base,53001,3,4,mixed,0.002050505,0.0009948038,1.0943197e-05,0.0006694795,0.0009694326
base,53001,3,5,mixed,0.0011209317,0.0005227731,1.9791826e-06,0.0007065268,0.0005669674
base,53001,3,6,spatial,0.17270526,0.15646705,0.00010488825,0.016547939,0.01554549
base,53001,3,7,spatial,0.1304766,0.11632802,8.3740095e-05,0.00095860765,0.013638115
base,53001,3,8,spatial,0.09668079,0.08389343,0.003949978,0.032981433,0.010466824
base,53001,3,9,spatial,0.03268542,0.025102029,8.409369e-06,0.0006265559,0.006826527
base,53001,3,10,mixed,0.0034951528,0.0019907202,6.883505e-05,0.00083622325,0.0014388823
base,53001,3,11,mixed,0.09702775,0.045508508,1.18493e-05,0.0051154518,0.03614502
base,53001,3,12,mixed,0.040331226,0.025170822,3.7545935e-05,0.013928197,0.012850258
base,53001,3,13,cue-specific,0.0019197933,0.0010761488,0.002116628,0.0050435737,0.0007728713
base,53001,3,14,mixed,0.009242349,0.005047464,0.00031039517,0.0056778267,0.004019627
base,53001,3,15,mixed,0.07482613,0.039026972,0.0016025577,0.050042056,0.026579179
base,53001,3,16,spatial,0.0066572856,0.0054234876,1.9811418e-06,2.7105189e-05,0.0011921844
base,53001,3,17,spatial,0.06106833,0.044524383,0.00072313135,0.0015227416,0.0150269475
base,53001,3,18,spatial,0.011189935,0.0075769275,0.00018698307,0.0020968583,0.0034678583
