record_type,seed,plasticity_rule,schedule,event,event_lap,relative_lap,old_map_similarity,new_map_similarity,step_similarity,ca1_unit,endpoint_unit_similarity
event_timecourse,51001,base,swap,1,21,3,0.5119823217391968,0.7393213510513306,0.8413562178611755,,
event_timecourse,51001,base,swap,1,21,4,0.509627103805542,0.7662841081619263,0.8065552711486816,,
event_timecourse,51001,base,swap,1,21,5,0.545606255531311,0.7682130336761475,0.8051532506942749,,
event_timecourse,51001,base,swap,1,21,6,0.5424789190292358,0.7612367868423462,0.8402491807937622,,
event_timecourse,51001,base,swap,1,21,7,0.4688469171524048,0.8144548535346985,0.8507180213928223,,
event_timecourse,51001,base,swap,1,21,8,0.48460403084754944,0.845486044883728,0.818604588508606,,
event_timecourse,51001,base,swap,1,21,9,0.4711184799671173,0.9823669195175171,0.845486044883728,,
endpoint_unit,51001,base,swap,1,21,,,,,0,0.8379575610160828
endpoint_unit,51001,base,swap,1,21,,,,,1,-0.48365113139152527
endpoint_unit,51001,base,swap,1,21,,,,,2,0.19599387049674988
endpoint_unit,51001,base,swap,1,21,,,,,3,0.1916772574186325
endpoint_unit,51001,base,swap,1,21,,,,,4,0.794049084186554
endpoint_unit,51001,base,swap,1,21,,,,,5,0.6142663955688477
endpoint_unit,51001,base,swap,1,21,,,,,6,-0.47977307438850403
endpoint_unit,51001,base,swap,1,21,,,,,7,0.9657630920410156
endpoint_unit,51001,base,swap,1,21,,,,,8,0.5176742076873779
endpoint_unit,51001,base,swap,1,21,,,,,9,0.2667602598667145
endpoint_unit,51001,base,swap,1,21,,,,,10,0.4003553092479706
endpoint_unit,51001,base,swap,1,21,,,,,11,0.780938982963562
endpoint_unit,51001,base,swap,1,21,,,,,12,0.5802673697471619
endpoint_unit,51001,base,swap,1,21,,,,,13,0.868126630783081
endpoint_unit,51001,base,swap,1,21,,,,,14,0.9811499118804932
endpoint_unit,51001,base,swap,1,21,,,,,15,-0.03648332133889198
endpoint_unit,51001,base,swap,1,21,,,,,16,0.022008946165442467
endpoint_unit,51001,base,swap,1,21,,,,,17,0.9980494379997253
endpoint_unit,51001,base,swap,1,21,,,,,18,0.04057644307613373
endpoint_unit,51001,base,swap,1,21,,,,,19,-0.0642627477645874
endpoint_unit,51001,base,swap,1,21,,,,,20,0.9913843274116516
endpoint_unit,51001,base,swap,1,21,,,,,21,0.9777604937553406
endpoint_unit,51001,base,swap,1,21,,,,,22,-0.4641956090927124
endpoint_unit,51001,base,swap,1,21,,,,,23,0.5700018405914307
endpoint_unit,51001,base,swap,1,21,,,,,24,0.9207943677902222
endpoint_unit,51001,base,swap,1,21,,,,,25,0.2954771816730499
endpoint_unit,51001,base,swap,1,21,,,,,26,0.9213812947273254
endpoint_unit,51001,base,swap,1,21,,,,,27,0.3906218111515045
endpoint_unit,51001,base,swap,1,21,,,,,28,0.6971056461334229
endpoint_unit,51001,base,swap,1,21,,,,,29,0.4872378706932068
endpoint_unit,51001,base,swap,1,21,,,,,30,-0.44237199425697327
endpoint_unit,51001,base,swap,1,21,,,,,31,0.6377975940704346
endpoint_unit,51001,base,swap,1,21,,,,,32,0.15673217177391052
endpoint_unit,51001,base,swap,1,21,,,,,33,0.9764571189880371
endpoint_unit,51001,base,swap,1,21,,,,,34,0.8387089967727661
endpoint_unit,51001,base,swap,1,21,,,,,35,0.885132372379303
endpoint_unit,51001,base,swap,1,21,,,,,36,0.22068017721176147
endpoint_unit,51001,base,swap,1,21,,,,,37,0.9058932662010193
endpoint_unit,51001,base,swap,1,21,,,,,38,0.7486959099769592
endpoint_unit,51001,base,swap,1,21,,,,,39,0.8906758427619934
endpoint_unit,51001,base,swap,1,21,,,,,40,0.18774734437465668
endpoint_unit,51001,base,swap,1,21,,,,,41,0.003313081804662943
endpoint_unit,51001,base,swap,1,21,,,,,42,0.9152354598045349
endpoint_unit,51001,base,swap,1,21,,,,,43,-0.11868982762098312
endpoint_unit,51001,base,swap,1,21,,,,,44,0.7457480430603027
endpoint_unit,51001,base,swap,1,21,,,,,45,0.07193374633789062
endpoint_unit,51001,base,swap,1,21,,,,,46,0.8473384976387024
endpoint_unit,51001,base,swap,1,21,,,,,47,0.6110135912895203
endpoint_unit,51001,base,swap,1,21,,,,,48,0.9700427055358887
endpoint_unit,51001,base,swap,1,21,,,,,49,-0.275174617767334
event_timecourse,51001,base,swap,2,31,-3,0.8144548535346985,0.4285057485103607,0.8507180213928223,,
event_timecourse,51001,base,swap,2,31,-2,0.845486044883728,0.47136664390563965,0.818604588508606,,
event_timecourse,51001,base,swap,2,31,-1,0.9823669195175171,0.43784099817276,0.845486044883728,,
event_timecourse,51001,base,swap,2,31,0,0.4161684811115265,0.5792375802993774,0.4161684811115265,,
event_timecourse,51001,base,swap,2,31,1,0.4909166097640991,0.7244227528572083,0.7409912347793579,,
event_timecourse,51001,base,swap,2,31,2,0.4683037996292114,0.7215567231178284,0.8693873882293701,,
event_timecourse,51001,base,swap,2,31,3,0.4945850074291229,0.7603209614753723,0.8685682415962219,,
event_timecourse,51001,base,swap,2,31,4,0.498463898897171,0.7668216824531555,0.8389827609062195,,
event_timecourse,51001,base,swap,2,31,5,0.4945211112499237,0.8034257292747498,0.843231201171875,,
event_timecourse,51001,base,swap,2,31,6,0.47891315817832947,0.8102378249168396,0.9275752305984497,,
event_timecourse,51001,base,swap,2,31,7,0.4977682828903198,0.86238694190979,0.8828962445259094,,
event_timecourse,51001,base,swap,2,31,8,0.4563013017177582,0.8473066091537476,0.8826047778129578,,
event_timecourse,51001,base,swap,2,31,9,0.43784099817276,1.0,0.8473066091537476,,
endpoint_unit,51001,base,swap,2,31,,,,,0,0.3950560688972473
endpoint_unit,51001,base,swap,2,31,,,,,1,-0.4923540949821472
endpoint_unit,51001,base,swap,2,31,,,,,2,0.3274996876716614
endpoint_unit,51001,base,swap,2,31,,,,,3,0.5994777679443359
endpoint_unit,51001,base,swap,2,31,,,,,4,0.40002724528312683
endpoint_unit,51001,base,swap,2,31,,,,,5,0.6279793381690979
endpoint_unit,51001,base,swap,2,31,,,,,6,-0.4901646673679352
endpoint_unit,51001,base,swap,2,31,,,,,7,0.9253893494606018
endpoint_unit,51001,base,swap,2,31,,,,,8,-0.04653723165392876
