root_seed,key_mode,fraction,mask_index,dropped_lec_units,cue_accuracy,mec_cosine,output_cosine,key_cosine
51001,normal,0.0,0,0,1.0,0.9039511968722554,0.9514526540459769,1.0
51001,normal,0.0,1,0,1.0,0.9039511968722554,0.9514526540459769,1.0
51001,normal,0.0,2,0,1.0,0.9039511968722554,0.9514526540459769,1.0
51001,normal,0.0,3,0,1.0,0.9039511968722554,0.9514526540459769,1.0
51001,normal,0.0,4,0,1.0,0.9039511968722554,0.9514526540459769,1.0
51001,normal,0.0,5,0,1.0,0.9039511968722554,0.9514526540459769,1.0
51001,normal,0.0,6,0,1.0,0.9039511968722554,0.9514526540459769,1.0
51001,normal,0.0,7,0,1.0,0.9039511968722554,0.9514526540459769,1.0
51001,normal,0.0,8,0,1.0,0.9039511968722554,0.9514526540459769,1.0
51001,normal,0.0,9,0,1.0,0.9039511968722554,0.9514526540459769,1.0
51001,normal,0.0,10,0,1.0,0.9039511968722554,0.9514526540459769,1.0
51001,normal,0.0,11,0,1.0,0.9039511968722554,0.9514526540459769,1.0
51001,normal,0.25,0,6,1.0,0.8629608065851333,0.8759099671192176,0.8437866420235806
51001,normal,0.25,1,6,1.0,0.8428023413625203,0.8953602745661905,0.8711056903994039
51001,normal,0.25,2,6,1.0,0.8584173186800205,0.8755074419431655,0.8125847646794532
51001,normal,0.25,3,6,1.0,0.8389512979853874,0.9060793077653017,0.8471155051468549
51001,normal,0.25,4,6,1.0,0.8403706522893009,0.8979473912052139,0.8492965875215333
51001,normal,0.25,5,6,1.0,0.8690312035087661,0.8862181385115829,0.7917794406521748
51001,normal,0.25,6,6,1.0,0.7895573250639103,0.8656332644077203,0.7405740245035272
51001,normal,0.25,7,6,1.0,0.8174200794606121,0.8977864771103629,0.8719279944051636
51001,normal,0.25,8,6,1.0,0.8750241596590347,0.8976920198216817,0.8554700172842239
51001,normal,0.25,9,6,1.0,0.830069589985384,0.9014195591937515,0.8183126223980404
51001,normal,0.25,10,6,1.0,0.8200109332696315,0.8910352471798438,0.840654688139351
51001,normal,0.25,11,6,1.0,0.8267502971918478,0.9155391182477358,0.8808808167491293
51001,normal,0.5,0,12,1.0,0.8146698046168178,0.7913352597838997,0.7432083344531556
51001,normal,0.5,1,12,1.0,0.7509721253563905,0.7871846072006725,0.7703452200605647
51001,normal,0.5,2,12,1.0,0.8079447005073916,0.8682322466187299,0.7014747973121334
51001,normal,0.5,3,12,1.0,0.8042023302365187,0.8420076976834645,0.7011535347812382
51001,normal,0.5,4,12,1.0,0.7690276875768857,0.7808906742587348,0.7212312190358713
51001,normal,0.5,5,12,0.5,0.8320002583438085,0.8190459036586307,0.7107062473204462
51001,normal,0.5,6,12,1.0,0.6898626997284468,0.647352945329244,0.6757486413596494
51001,normal,0.5,7,12,1.0,0.8033751642070394,0.8142583628110746,0.7850190337760634
51001,normal,0.5,8,12,1.0,0.7988379579328635,0.7768516840683614,0.7097246740313078
51001,normal,0.5,9,12,1.0,0.7815996227285289,0.8164290090029696,0.6645123925413431
51001,normal,0.5,10,12,0.5,0.7512170607757824,0.7527797367617203,0.7000809108438051
51001,normal,0.5,11,12,1.0,0.7465214864642286,0.7064769389172977,0.6646408149746657
51001,normal,0.75,0,19,1.0,0.7624614901561262,0.6983008496384291,0.5927935291803729
51001,normal,0.75,1,19,0.5,0.8283935612740398,0.7427621091085108,0.6202035900982448
51001,normal,0.75,2,19,0.5,0.7741177434773021,0.7154669646800397,0.6796746855393323
51001,normal,0.75,3,19,1.0,0.8209815992800555,0.7609111902967558,0.6165489169638108
51001,normal,0.75,4,19,1.0,0.7758661158065319,0.7271084137437236,0.6036724792891005
51001,normal,0.75,5,19,0.5,0.7091036228416661,0.6226640691307086,0.6343447051091534
51001,normal,0.75,6,19,0.5,0.8154265980330999,0.7543585215103996,0.616943909772862
51001,normal,0.75,7,19,1.0,0.7156235538161902,0.6297008589889571,0.5852754325754931
51001,normal,0.75,8,19,0.0,0.7438533137422428,0.6577975464883825,0.6177680974612276
51001,normal,0.75,9,19,1.0,0.7950770396409088,0.7412924283108032,0.5829986413331331
51001,normal,0.75,10,19,1.0,0.7842390776903563,0.7583280118673372,0.6075603004569379
51001,normal,0.75,11,19,0.0,0.7256701299365531,0.6052898631004547,0.6061734783162135
51001,normal,0.9,0,22,0.5,0.7259006131574784,0.5932156961734888,0.5965092023005084
51001,normal,0.9,1,22,0.0,0.7539354801964602,0.6516582188554492,0.5600630985306005
51001,normal,0.9,2,22,0.0,0.7454910757976382,0.6282520438122937,0.6155272491199796
51001,normal,0.9,3,22,0.5,0.7991368488518868,0.6939127603871649,0.6069926167719071
51001,normal,0.9,4,22,0.5,0.8064321943426128,0.7069720563151478,0.5708017316231065
51001,normal,0.9,5,22,0.0,0.7420995662362313,0.6165628466957417,0.5917616048046781
51001,normal,0.9,6,22,0.5,0.8072904140650699,0.6913769669831363,0.5638780262607866
51001,normal,0.9,7,22,0.5,0.768316017334395,0.6604996269232447,0.6406529381148057
51001,normal,0.9,8,22,0.0,0.7653906963879171,0.6214975743637496,0.6043425016589964
51001,normal,0.9,9,22,0.0,0.7332287062902552,0.5837508564041526,0.5970318234196867
51001,normal,0.9,10,22,1.0,0.7730701841695378,0.6773729853826994,0.569530085706337
51001,normal,0.9,11,22,0.5,0.7646487619158572,0.642671443236389,0.5652749403703006
51001,shuffled,0.0,0,0,1.0,0.9028164502938293,0.952995755740707,1.0
51001,shuffled,0.0,1,0,1.0,0.9028164502938293,0.952995755740707,1.0
