root_seed,rule,fraction,mask_index,output_cosine,identity,dropped_units
31002,base,0.75,1,0.46136072780912174,0.04,38
31002,base,0.75,2,0.7403887543767464,0.08,38
31002,base,0.75,3,0.443267128695948,0.06,38
31002,base,0.75,4,0.503810217716556,0.1,38
31002,base,0.75,5,0.6837326428669422,0.1,38
31002,base,0.75,6,0.6767986380873715,0.08,38
31002,base,0.75,7,0.7346326720098842,0.06,38
31002,base,0.9,0,0.6018752970911107,0.06,45
31002,base,0.9,1,0.678897193214121,0.08,45
31002,base,0.9,2,0.49149816924666134,0.04,45
31002,base,0.9,3,0.48058984638815955,0.06,45
31002,base,0.9,4,0.6555122745214658,0.1,45
31002,base,0.9,5,0.5956104364924992,0.06,45
31002,base,0.9,6,0.38160293683369745,0.04,45
31002,base,0.9,7,0.4657471310576974,0.06,45
31002,err2,0.0,0,0.9487989568719776,0.82,0
31002,err2,0.0,1,0.9487989568719776,0.82,0
31002,err2,0.0,2,0.9487989568719776,0.82,0
31002,err2,0.0,3,0.9487989568719776,0.82,0
31002,err2,0.0,4,0.9487989568719776,0.82,0
31002,err2,0.0,5,0.9487989568719776,0.82,0
31002,err2,0.0,6,0.9487989568719776,0.82,0
31002,err2,0.0,7,0.9487989568719776,0.82,0
31002,err2,0.25,0,0.7073329382965582,0.36,12
31002,err2,0.25,1,0.8328236041211484,0.34,12
31002,err2,0.25,2,0.7499585644392649,0.36,12
31002,err2,0.25,3,0.7991535966191428,0.3,12
31002,err2,0.25,4,0.8264341079832768,0.22,12
31002,err2,0.25,5,0.8547929589446818,0.32,12
31002,err2,0.25,6,0.7794114188578872,0.34,12
31002,err2,0.25,7,0.8170929931431877,0.34,12
31002,err2,0.5,0,0.7383451633153756,0.18,25
31002,err2,0.5,1,0.5946908700987441,0.1,25
31002,err2,0.5,2,0.6359973580412916,0.18,25
31002,err2,0.5,3,0.6219275164531046,0.12,25
31002,err2,0.5,4,0.7246793764442333,0.1,25
31002,err2,0.5,5,0.7019759996392964,0.22,25
31002,err2,0.5,6,0.7221733409278096,0.24,25
31002,err2,0.5,7,0.6797966869426237,0.32,25
31002,err2,0.75,0,0.5642956900596633,0.1,38
31002,err2,0.75,1,0.6422172529519402,0.18,38
31002,err2,0.75,2,0.48261657231151395,0.08,38
31002,err2,0.75,3,0.5745954066512925,0.12,38
31002,err2,0.75,4,0.480805744370176,0.06,38
31002,err2,0.75,5,0.492692959797335,0.14,38
31002,err2,0.75,6,0.4982768724335855,0.06,38
31002,err2,0.75,7,0.5336034213896563,0.14,38
31002,err2,0.9,0,0.3832916604612613,0.08,45
31002,err2,0.9,1,0.44782666652582825,0.06,45
31002,err2,0.9,2,0.4021654092767612,0.02,45
31002,err2,0.9,3,0.3951014096075589,0.04,45
31002,err2,0.9,4,0.4573192435759186,0.04,45
31002,err2,0.9,5,0.33762540558859816,0.1,45
31002,err2,0.9,6,0.3381939541725565,0.02,45
31002,err2,0.9,7,0.3816481598239286,0.06,45
31003,base,0.0,0,0.8879562512942337,0.36,0
31003,base,0.0,1,0.8879562512942337,0.36,0
31003,base,0.0,2,0.8879562512942337,0.36,0
31003,base,0.0,3,0.8879562512942337,0.36,0
31003,base,0.0,4,0.8879562512942337,0.36,0
31003,base,0.0,5,0.8879562512942337,0.36,0
31003,base,0.0,6,0.8879562512942337,0.36,0
31003,base,0.0,7,0.8879562512942337,0.36,0
31003,base,0.25,0,0.854390207524348,0.2,12
31003,base,0.25,1,0.8403691616515917,0.18,12
31003,base,0.25,2,0.8516359689287828,0.26,12
31003,base,0.25,3,0.8789075286359112,0.3,12
31003,base,0.25,4,0.8188672362472998,0.22,12
31003,base,0.25,5,0.838508846161607,0.22,12
31003,base,0.25,6,0.8526972084285862,0.26,12
31003,base,0.25,7,0.8319657862251479,0.28,12
31003,base,0.5,0,0.7216841693975511,0.16,25
31003,base,0.5,1,0.834901145874201,0.16,25
31003,base,0.5,2,0.7777137933980183,0.18,25
31003,base,0.5,3,0.7795584972386119,0.18,25
31003,base,0.5,4,0.6962210789881705,0.16,25
31003,base,0.5,5,0.7804777278542457,0.22,25
31003,base,0.5,6,0.8152086105680736,0.16,25
31003,base,0.5,7,0.8472425668638219,0.18,25
31003,base,0.75,0,0.6663559172814422,0.08,38
31003,base,0.75,1,0.49060859687313874,0.04,38
31003,base,0.75,2,0.5718473231224326,0.12,38
31003,base,0.75,3,0.6693393669675582,0.14,38
31003,base,0.75,4,0.7126981289893779,0.1,38
31003,base,0.75,5,0.6438945348817958,0.1,38
