record_type,seed,plasticity_rule,schedule,event,event_lap,relative_lap,old_map_similarity,new_map_similarity,step_similarity,ca1_unit,endpoint_unit_similarity
event_timecourse,51001,base,no_swap,0,11,2,0.7701976299285889,0.7035718560218811,0.8999741077423096,,
event_timecourse,51001,base,no_swap,0,11,3,0.7016203999519348,0.7244486808776855,0.8018134236335754,,
event_timecourse,51001,base,no_swap,0,11,4,0.6921307444572449,0.7652356028556824,0.7718877196311951,,
event_timecourse,51001,base,no_swap,0,11,5,0.7053897380828857,0.7524392008781433,0.7794718742370605,,
event_timecourse,51001,base,no_swap,0,11,6,0.6848981976509094,0.790179967880249,0.8227955102920532,,
event_timecourse,51001,base,no_swap,0,11,7,0.6250865459442139,0.790605366230011,0.8111045360565186,,
event_timecourse,51001,base,no_swap,0,11,8,0.6525235772132874,0.7989600896835327,0.8180094957351685,,
event_timecourse,51001,base,no_swap,0,11,9,0.6623676419258118,0.8854802846908569,0.7989600896835327,,
endpoint_unit,51001,base,no_swap,0,11,,,,,0,0.9785228371620178
endpoint_unit,51001,base,no_swap,0,11,,,,,1,0.9986283183097839
endpoint_unit,51001,base,no_swap,0,11,,,,,2,0.6044303178787231
endpoint_unit,51001,base,no_swap,0,11,,,,,3,0.9151639938354492
endpoint_unit,51001,base,no_swap,0,11,,,,,4,0.999973475933075
endpoint_unit,51001,base,no_swap,0,11,,,,,5,0.7481116652488708
endpoint_unit,51001,base,no_swap,0,11,,,,,6,0.9984637498855591
endpoint_unit,51001,base,no_swap,0,11,,,,,7,0.7637467384338379
endpoint_unit,51001,base,no_swap,0,11,,,,,8,0.4853565990924835
endpoint_unit,51001,base,no_swap,0,11,,,,,9,0.9084071516990662
endpoint_unit,51001,base,no_swap,0,11,,,,,10,0.9056097269058228
endpoint_unit,51001,base,no_swap,0,11,,,,,11,0.5177701115608215
endpoint_unit,51001,base,no_swap,0,11,,,,,12,0.0007066478719934821
endpoint_unit,51001,base,no_swap,0,11,,,,,13,0.9897056221961975
endpoint_unit,51001,base,no_swap,0,11,,,,,14,0.6576338410377502
endpoint_unit,51001,base,no_swap,0,11,,,,,15,0.5932727456092834
endpoint_unit,51001,base,no_swap,0,11,,,,,16,0.5772574543952942
endpoint_unit,51001,base,no_swap,0,11,,,,,17,0.0505334809422493
endpoint_unit,51001,base,no_swap,0,11,,,,,18,0.7670683264732361
endpoint_unit,51001,base,no_swap,0,11,,,,,19,0.6463544368743896
endpoint_unit,51001,base,no_swap,0,11,,,,,20,0.9630649089813232
endpoint_unit,51001,base,no_swap,0,11,,,,,21,0.7743822336196899
endpoint_unit,51001,base,no_swap,0,11,,,,,22,0.9739411473274231
endpoint_unit,51001,base,no_swap,0,11,,,,,23,0.9982710480690002
endpoint_unit,51001,base,no_swap,0,11,,,,,24,0.966228187084198
endpoint_unit,51001,base,no_swap,0,11,,,,,25,0.993118405342102
endpoint_unit,51001,base,no_swap,0,11,,,,,26,-0.020191507413983345
endpoint_unit,51001,base,no_swap,0,11,,,,,27,0.9776611924171448
endpoint_unit,51001,base,no_swap,0,11,,,,,28,0.5945449471473694
