experiment,seed,plasticity_rule,condition,memory,output_target_cosine,from_lap,to_lap,cue_changed,tuning_similarity
compatibility,51001,base,random_content,3,0.07310634106397629,,,,
compatibility,51001,base,random_content,4,0.0006981040351092815,,,,
compatibility,51001,base,random_content,5,0.00011957676179008558,,,,
compatibility,51001,base,random_content,6,0.11603876203298569,,,,
compatibility,51001,base,random_content,7,0.6284481883049011,,,,
compatibility,51001,base,random_content,8,0.0621008537709713,,,,
compatibility,51001,base,random_content,9,0.3109753727912903,,,,
compatibility,51001,base,random_content,10,0.00012559167225845158,,,,
compatibility,51001,base,random_content,11,0.18190327286720276,,,,
compatibility,51001,base,random_content,12,0.23549705743789673,,,,
compatibility,51001,base,random_content,13,0.24797403812408447,,,,
compatibility,51001,base,random_content,14,0.1733826845884323,,,,
compatibility,51001,base,random_content,15,0.09983053058385849,,,,
compatibility,51001,base,random_content,16,0.13618656992912292,,,,
compatibility,51001,base,random_content,17,0.0951138362288475,,,,
compatibility,51001,base,random_content,18,0.3101898729801178,,,,
compatibility,51001,base,random_content,19,0.03832957148551941,,,,
compatibility,51001,base,random_content,20,0.4747261106967926,,,,
compatibility,51001,base,random_content,21,0.2822738289833069,,,,
compatibility,51001,base,random_content,22,5.4006024583941326e-05,,,,
compatibility,51001,base,random_content,23,0.18646156787872314,,,,
compatibility,51001,base,random_content,24,0.17162367701530457,,,,
compatibility,51001,base,random_content,25,0.002800889080390334,,,,
compatibility,51001,base,random_content,26,0.16262587904930115,,,,
compatibility,51001,base,random_content,27,0.278159499168396,,,,
compatibility,51001,base,no_plasticity,0,0.009733069688081741,,,,
compatibility,51001,base,no_plasticity,1,0.011510498821735382,,,,
compatibility,51001,base,no_plasticity,2,0.2371620237827301,,,,
compatibility,51001,base,no_plasticity,3,0.01830054633319378,,,,
compatibility,51001,base,no_plasticity,4,0.2171594649553299,,,,
compatibility,51001,base,no_plasticity,5,0.18410995602607727,,,,
compatibility,51001,base,no_plasticity,6,0.022862480953335762,,,,
compatibility,51001,base,no_plasticity,7,0.23521210253238678,,,,
compatibility,51001,base,no_plasticity,8,0.021605035290122032,,,,
compatibility,51001,base,no_plasticity,9,0.002571891527622938,,,,
compatibility,51001,base,no_plasticity,10,0.1870686113834381,,,,
compatibility,51001,base,no_plasticity,11,0.015072585083544254,,,,
compatibility,51001,base,no_plasticity,12,0.0009373440989293158,,,,
compatibility,51001,base,no_plasticity,13,0.0003758777747862041,,,,
compatibility,51001,base,no_plasticity,14,0.4913780689239502,,,,
compatibility,51001,base,no_plasticity,15,0.019074808806180954,,,,
compatibility,51001,base,no_plasticity,16,0.2371620237827301,,,,
compatibility,51001,base,no_plasticity,17,0.21889573335647583,,,,
compatibility,51001,base,no_plasticity,18,0.002395453630015254,,,,
compatibility,51001,base,no_plasticity,19,0.01832876168191433,,,,
compatibility,51001,base,no_plasticity,20,0.09687548130750656,,,,
compatibility,51001,base,no_plasticity,21,0.0877438336610794,,,,
compatibility,51001,base,no_plasticity,22,0.15582962334156036,,,,
compatibility,51001,base,no_plasticity,23,0.023555876687169075,,,,
compatibility,51001,base,no_plasticity,24,0.013162095099687576,,,,
compatibility,51001,base,no_plasticity,25,0.0030258777551352978,,,,
compatibility,51001,base,no_plasticity,26,0.022814206779003143,,,,
compatibility,51001,base,no_plasticity,27,0.013941967859864235,,,,
cue_schedule,51001,base,swap,,,1,2,False,0.7835168242454529
cue_schedule,51001,base,swap,,,2,3,False,0.7892629504203796
cue_schedule,51001,base,swap,,,3,4,False,0.8279288411140442
cue_schedule,51001,base,swap,,,4,5,False,0.7918642163276672
cue_schedule,51001,base,swap,,,5,6,False,0.8119228482246399
cue_schedule,51001,base,swap,,,6,7,False,0.8145228028297424
cue_schedule,51001,base,swap,,,7,8,False,0.8121793270111084
cue_schedule,51001,base,swap,,,8,9,False,0.8131203651428223
cue_schedule,51001,base,swap,,,9,10,False,0.8226396441459656
cue_schedule,51001,base,swap,,,10,11,True,0.29199787974357605
cue_schedule,51001,base,swap,,,11,12,False,0.7644325494766235
cue_schedule,51001,base,swap,,,12,13,False,0.8535140752792358
cue_schedule,51001,base,swap,,,13,14,False,0.8546862006187439
cue_schedule,51001,base,swap,,,14,15,False,0.8645418286323547
cue_schedule,51001,base,swap,,,15,16,False,0.8273858428001404
cue_schedule,51001,base,swap,,,16,17,False,0.8520014882087708
cue_schedule,51001,base,swap,,,17,18,False,0.8373861908912659
cue_schedule,51001,base,swap,,,18,19,False,0.8114951252937317
cue_schedule,51001,base,swap,,,19,20,False,0.875099241733551
cue_schedule,51001,base,swap,,,20,21,True,0.3496764898300171
cue_schedule,51001,base,swap,,,21,22,False,0.8333560824394226
cue_schedule,51001,base,swap,,,22,23,False,0.8317498564720154
cue_schedule,51001,base,swap,,,23,24,False,0.8342592716217041
cue_schedule,51001,base,swap,,,24,25,False,0.8340835571289062
cue_schedule,51001,base,swap,,,25,26,False,0.809598982334137
cue_schedule,51001,base,swap,,,26,27,False,0.8615055680274963
cue_schedule,51001,base,swap,,,27,28,False,0.8438534736633301
cue_schedule,51001,base,swap,,,28,29,False,0.8430871367454529
cue_schedule,51001,base,swap,,,29,30,False,0.841484010219574
cue_schedule,51001,base,swap,,,30,31,True,0.3645836114883423
cue_schedule,51001,base,swap,,,31,32,False,0.804514467716217
cue_schedule,51001,base,swap,,,32,33,False,0.8354138731956482
cue_schedule,51001,base,swap,,,33,34,False,0.884505033493042
cue_schedule,51001,base,swap,,,34,35,False,0.8746934533119202
cue_schedule,51001,base,swap,,,35,36,False,0.8605763912200928
cue_schedule,51001,base,swap,,,36,37,False,0.8359015583992004
cue_schedule,51001,base,swap,,,37,38,False,0.8467938899993896
cue_schedule,51001,base,swap,,,38,39,False,0.874538779258728
cue_schedule,51001,base,swap,,,39,40,False,0.9011328220367432
cue_schedule,51001,base,no_swap,,,1,2,False,0.7835168242454529
cue_schedule,51001,base,no_swap,,,2,3,False,0.7892629504203796
cue_schedule,51001,base,no_swap,,,3,4,False,0.8279288411140442
cue_schedule,51001,base,no_swap,,,4,5,False,0.7918642163276672
cue_schedule,51001,base,no_swap,,,5,6,False,0.8119228482246399
cue_schedule,51001,base,no_swap,,,6,7,False,0.8145228028297424
cue_schedule,51001,base,no_swap,,,7,8,False,0.8121793270111084
cue_schedule,51001,base,no_swap,,,8,9,False,0.8131203651428223
cue_schedule,51001,base,no_swap,,,9,10,False,0.8226396441459656
cue_schedule,51001,base,no_swap,,,10,11,False,0.8217315077781677
cue_schedule,51001,base,no_swap,,,11,12,False,0.8161929845809937
cue_schedule,51001,base,no_swap,,,12,13,False,0.8271476626396179
cue_schedule,51001,base,no_swap,,,13,14,False,0.8483920097351074
cue_schedule,51001,base,no_swap,,,14,15,False,0.8415669202804565
cue_schedule,51001,base,no_swap,,,15,16,False,0.8211863040924072
cue_schedule,51001,base,no_swap,,,16,17,False,0.838743269443512
cue_schedule,51001,base,no_swap,,,17,18,False,0.8416988253593445
cue_schedule,51001,base,no_swap,,,18,19,False,0.857647716999054
cue_schedule,51001,base,no_swap,,,19,20,False,0.820710301399231
cue_schedule,51001,base,no_swap,,,20,21,False,0.7704724073410034
cue_schedule,51001,base,no_swap,,,21,22,False,0.8618889451026917
