metric,plasticity_rule,seed,value
lec_cue_accuracy_90,err2,51017,0.7916666865348816
lec_cue_accuracy_90,err2,51018,0.75
lec_cue_accuracy_90,err2,51019,0.7083333134651184
lec_cue_accuracy_90,err2,51020,0.625
mec_position_accuracy_90,base,51001,0.0716666653752327
mec_position_accuracy_90,base,51002,0.05000000074505806
mec_position_accuracy_90,base,51003,0.06666666269302368
mec_position_accuracy_90,base,51004,0.08666667342185974
mec_position_accuracy_90,base,51005,0.05833333358168602
mec_position_accuracy_90,base,51006,0.0716666653752327
mec_position_accuracy_90,base,51007,0.07666666060686111
mec_position_accuracy_90,base,51008,0.07333333790302277
mec_position_accuracy_90,base,51009,0.07000000029802322
mec_position_accuracy_90,base,51010,0.07499999552965164
mec_position_accuracy_90,base,51011,0.08166666328907013
mec_position_accuracy_90,base,51012,0.0716666653752327
mec_position_accuracy_90,base,51013,0.07499999552965164
mec_position_accuracy_90,base,51014,0.05833333358168602
mec_position_accuracy_90,base,51015,0.07833333313465118
mec_position_accuracy_90,base,51016,0.0650000050663948
mec_position_accuracy_90,base,51017,0.0716666653752327
mec_position_accuracy_90,base,51018,0.08500000089406967
mec_position_accuracy_90,base,51019,0.053333330899477005
mec_position_accuracy_90,base,51020,0.06833333522081375
mec_position_accuracy_90,err2,51001,0.046666666865348816
mec_position_accuracy_90,err2,51002,0.05999999865889549
mec_position_accuracy_90,err2,51003,0.0716666653752327
mec_position_accuracy_90,err2,51004,0.0716666653752327
mec_position_accuracy_90,err2,51005,0.06499999761581421
mec_position_accuracy_90,err2,51006,0.08666667342185974
mec_position_accuracy_90,err2,51007,0.056666672229766846
mec_position_accuracy_90,err2,51008,0.07666666805744171
mec_position_accuracy_90,err2,51009,0.04999999701976776
mec_position_accuracy_90,err2,51010,0.06499999761581421
mec_position_accuracy_90,err2,51011,0.0716666728258133
mec_position_accuracy_90,err2,51012,0.08500000089406967
mec_position_accuracy_90,err2,51013,0.08000000566244125
mec_position_accuracy_90,err2,51014,0.08500000089406967
mec_position_accuracy_90,err2,51015,0.08666666597127914
mec_position_accuracy_90,err2,51016,0.0650000050663948
mec_position_accuracy_90,err2,51017,0.05666666850447655
mec_position_accuracy_90,err2,51018,0.0716666728258133
mec_position_accuracy_90,err2,51019,0.07333333790302277
mec_position_accuracy_90,err2,51020,0.061666667461395264
